month,rainfall_mm,ndvi,land_surface_temp_c,soil_moisture,cloud_cover_pct,mining_accessibility_score,haulage_risk,blasting_feasibility
2023-01,56.8,0.542,33.8,0.104,30.2,82.4,LOW,MEDIUM
2023-02,25.1,0.322,38.8,0.209,39.3,84.4,LOW,HIGH
2023-03,13.6,0.401,37.4,0.258,24.2,90.7,LOW,HIGH
2023-04,36.8,0.357,40.5,0.186,9.9,91.5,LOW,HIGH
2023-05,39.9,0.354,33.0,0.272,21.1,87.7,LOW,HIGH
2023-06,322.3,0.623,33.5,0.372,72.5,29.9,HIGH,LOW
2023-07,375.0,0.748,31.5,0.418,90.5,20.0,HIGH,LOW
2023-08,275.3,0.74,33.3,0.354,64.4,39.4,HIGH,LOW
2023-09,301.7,0.59,29.8,0.539,79.6,30.9,HIGH,LOW
2023-10,45.0,0.439,37.5,0.119,17.0,88.2,LOW,HIGH
2023-11,16.9,0.398,40.0,0.174,20.8,91.2,LOW,HIGH
2023-12,23.8,0.323,36.4,0.139,11.5,93.0,LOW,HIGH
2024-01,5.6,0.389,39.6,0.155,15.9,94.4,LOW,HIGH
2024-02,38.6,0.349,41.0,0.204,20.7,88.0,LOW,HIGH
2024-03,33.5,0.342,38.1,0.173,36.4,84.1,LOW,HIGH
2024-04,10.1,0.427,38.0,0.107,17.7,93.2,LOW,HIGH
2024-05,44.0,0.505,35.1,0.26,38.9,81.7,LOW,HIGH
2024-06,347.1,0.579,33.2,0.414,94.6,20.0,HIGH,LOW
2024-07,261.6,0.581,33.1,0.415,94.9,32.3,HIGH,LOW
2024-08,375.3,0.714,28.9,0.487,63.3,24.7,HIGH,LOW
2024-09,156.8,0.756,29.5,0.426,94.1,48.3,MEDIUM,LOW
2024-10,20.2,0.374,41.2,0.122,31.6,87.5,LOW,HIGH
2024-11,59.3,0.525,38.5,0.163,13.9,86.9,LOW,MEDIUM
2024-12,49.2,0.52,37.3,0.149,9.0,89.9,LOW,HIGH
2025-01,5.2,0.48,36.2,0.281,30.9,90.0,LOW,HIGH
2025-02,11.5,0.453,36.4,0.215,30.8,89.0,LOW,HIGH
2025-03,48.4,0.511,34.5,0.106,30.9,83.5,LOW,HIGH
2025-04,6.4,0.379,32.0,0.236,10.8,95.8,LOW,HIGH
2025-05,39.3,0.548,32.7,0.115,16.9,89.0,LOW,HIGH
2025-06,349.3,0.604,30.5,0.364,86.7,21.6,HIGH,LOW
2025-07,243.9,0.74,34.3,0.397,88.3,36.9,HIGH,LOW
2025-08,163.6,0.775,32.6,0.525,60.0,57.5,MEDIUM,LOW
2025-09,188.9,0.647,30.7,0.395,73.4,49.6,MEDIUM,LOW
2025-10,7.7,0.403,40.0,0.196,5.6,97.2,LOW,HIGH
2025-11,25.3,0.307,41.7,0.125,29.8,87.3,LOW,HIGH
2025-12,58.4,0.507,39.0,0.268,39.4,79.4,LOW,MEDIUM
