drill_id,lat,lon,depth_m,mn_grade_pct,fe_grade_pct,sio2_pct,geological_unit,core_recovery_pct,year
DH-001,21.64327,80.19332,115.2,30.43,7.34,6.16,Phyllite,88.0,2025
DH-002,21.93343,79.16487,113.9,29.02,19.08,5.02,Limestone,88.5,2019
DH-003,21.80099,79.59674,57.9,30.34,9.38,12.33,Shale,93.6,2020
DH-004,21.65159,80.23072,80.7,34.39,17.9,18.61,Shale,70.4,2018
DH-005,22.26391,80.02966,59.6,30.99,11.6,7.44,Shale,71.0,2023
DH-006,21.66061,79.30957,118.2,28.68,11.38,9.16,Shale,70.9,2019
DH-007,22.06389,80.18042,136.3,33.9,6.33,8.92,BIF,79.8,2025
DH-008,22.03469,79.72065,96.3,33.04,19.48,17.14,BIF,78.9,2022
DH-009,21.32828,80.23492,120.4,33.84,15.94,20.43,BIF,80.8,2018
DH-010,22.21071,80.07754,78.4,33.28,6.43,12.42,Quartzite,90.0,2021
DH-011,21.91944,80.12029,81.4,34.37,16.41,16.23,Quartzite,84.8,2018
DH-012,21.9962,79.22752,77.1,26.53,8.03,22.92,Shale,86.9,2021
DH-013,22.20294,79.38669,73.3,26.12,6.15,10.8,BIF,97.9,2022
DH-014,21.56042,79.22132,79.3,31.62,8.28,13.33,Phyllite,79.7,2024
DH-015,22.1909,79.4657,34.3,28.09,17.27,22.21,BIF,85.3,2018
DH-016,21.75907,79.8963,55.0,30.43,8.66,8.37,BIF,86.7,2021
DH-017,21.63181,80.21755,145.1,33.5,9.51,10.7,BIF,88.3,2019
DH-018,21.68159,79.13801,64.9,23.36,14.52,18.61,Shale,83.4,2023
DH-019,21.50416,79.87296,119.0,37.05,10.52,17.65,Quartzite,86.1,2025
DH-020,22.08826,79.27333,86.1,25.63,15.44,22.17,BIF,76.6,2019
DH-021,21.7877,79.36047,103.9,32.61,10.8,23.73,BIF,80.2,2018
DH-022,21.46953,79.72267,110.5,31.33,8.43,8.5,Limestone,85.5,2018
DH-023,21.50394,79.20707,136.6,29.86,10.09,11.98,Quartzite,96.9,2025
DH-024,21.67473,80.12094,130.6,36.62,19.03,20.71,Quartzite,87.4,2025
DH-025,21.35655,79.86303,20.7,34.27,15.38,18.04,BIF,91.4,2018
DH-026,21.76859,79.30565,67.6,26.74,16.16,19.42,BIF,86.3,2020
DH-027,21.6361,79.40498,51.7,31.51,18.38,17.62,Quartzite,85.1,2021
DH-028,21.95237,80.09379,49.9,34.21,12.49,16.44,Quartzite,71.3,2021
DH-029,22.23748,80.19702,138.9,29.35,19.5,24.27,Phyllite,78.8,2022
DH-030,21.45046,79.40875,83.1,33.54,10.59,12.89,Phyllite,97.9,2023
DH-031,21.35204,79.80726,148.7,33.78,18.16,19.82,Quartzite,91.1,2025
DH-032,21.83046,79.44099,74.6,28.33,8.84,17.23,BIF,70.2,2021
DH-033,22.08821,79.84746,111.3,33.04,10.07,12.51,BIF,87.3,2023
DH-034,21.59456,79.2783,147.6,30.69,17.58,22.21,BIF,71.2,2024
DH-035,21.6282,79.24612,87.9,27.63,14.34,6.71,BIF,85.9,2024
DH-036,21.98449,79.25911,37.3,30.93,19.54,19.29,BIF,82.0,2020
