month,production_tonnes,target_tonnes,equipment_availability_pct,rainfall_mm,blasting_days_lost,haulage_delay_hrs,working_days,is_monsoon
2023-01,126105,166667,76.0,0.6,0,5.3,26,0
2023-02,131172,166667,82.5,32.3,1,2.0,25,0
2023-03,122893,166667,73.8,24.4,1,16.2,25,0
2023-04,141716,166667,91.5,30.7,1,15.7,25,0
2023-05,158797,166667,93.9,44.6,0,16.2,26,0
2023-06,106781,166667,69.0,165.3,1,15.8,23,1
2023-07,100000,166667,73.5,330.4,2,24.0,22,1
2023-08,116880,166667,84.2,195.4,4,18.0,20,1
2023-09,108194,166667,74.8,297.5,4,31.0,20,1
2023-10,120743,166667,70.9,5.3,1,14.8,25,0
2023-11,125968,166667,77.4,17.7,0,8.2,26,0
2023-12,152707,166667,90.8,27.5,1,5.3,25,0
2024-01,117358,166667,72.1,1.0,1,4.6,25,0
2024-02,145701,166667,86.7,48.8,0,2.4,26,0
2024-03,148807,166667,89.4,30.8,0,17.9,26,0
2024-04,124756,166667,73.1,16.1,0,19.6,26,0
2024-05,152752,166667,84.6,30.1,0,3.1,26,0
2024-06,101583,166667,64.8,158.7,1,19.5,23,1
2024-07,100000,166667,72.8,224.4,3,20.5,21,1
2024-08,115584,166667,78.9,335.7,2,32.7,22,1
2024-09,110995,166667,69.1,279.2,0,27.7,24,1
2024-10,144414,166667,94.5,11.1,1,14.6,25,0
2024-11,149631,166667,86.4,38.8,0,5.4,26,0
2024-12,138591,166667,88.2,27.0,1,2.6,25,0
2025-01,144760,166667,90.4,36.3,0,6.8,26,0
2025-02,148059,166667,89.0,20.7,0,10.2,26,0
2025-03,141022,166667,84.1,14.9,0,17.5,26,0
2025-04,115386,166667,74.0,21.7,1,0.2,25,0
2025-05,142658,166667,88.2,12.3,0,17.6,26,0
2025-06,100000,166667,69.8,281.5,4,29.7,20,1
2025-07,109042,166667,66.7,273.2,0,25.5,24,1
2025-08,108521,166667,83.0,319.6,3,29.9,21,1
2025-09,141722,166667,86.0,190.5,0,31.8,24,1
2025-10,137378,166667,82.6,23.5,1,7.4,25,0
2025-11,140059,166667,88.1,22.4,1,13.3,25,0
2025-12,118587,166667,74.5,0.1,1,12.4,25,0
